lr	epochs	layers	batch_size	accuracy	test_set_size
0.0005	10	40	16	0.6815642458100558	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.4222222222222222	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	10	40	16	0.7111111111111111	20.0
0.0005	20	40	16	0.7444444444444445	20.0
0.0005	40	40	16	0.7888888888888889	20.0
0.0005	100	40	16	0.8444444444444444	20.0
0.0005	100	40	32	0.8555555555555555	20.0
0.0005	200	40	32	0.8777777777777778	20.0
0.0005	180	40	32	0.8777777777777778	20.0
0.0005	150	40	32	0.8666666666666667	20.0
0.0005	170	40	32	0.8888888888888888	20.0
0.0005	160	40	32	0.8777777777777778	20.0
