lr	epochs	layers	batch_size	accuracy	test_set_size
0.0005	10	20	16	0.45962732919254656	30.0
0.005	10	20	30	0.5403726708074534	30.0
0.005	10	20	30	0.5740740740740741	20.0
0.005	10	20	30	0.6	40.0
0.0005	10	20	16	0.4604651162790698	40.0
0.0005	10	40	16	0.5813953488372093	40.0
0.005	10	40	16	0.6651162790697674	40.0
0.005	10	40	30	0.6837209302325581	40.0
0.005	10	40	32	0.7069767441860465	40.0
0.005	10	40	64	0.5069767441860465	40.0
0.005	50	40	32	0.6837209302325581	40.0
0.0005	50	40	32	0.6372093023255814	40.0
0.001	50	40	32	0.6651162790697674	40.0
0.0005	10	40	16	0.5813953488372093	40.0
0.0005	100	40	32	0.6604651162790698	40.0
0.005	10	40	30	0.6837209302325581	40.0
0.005	20	40	30	0.5116279069767442	40.0
0.005	10	40	30	0.6837209302325581	40.0
0.005	10	40	30	0.6837209302325581	40.0
