	qml_model	noise_model	probability|miscalibration	aml_attack	epsilon	accuracy
0	pqc	none	0.0	none	0	84.44444444444444
1	pqc	none	0.0	fgsm	0.1	51.85185185185185
2	pqc	none	0.0	fgsm	0.3	50.37037037037037
3	pqc	none	0.0	fgsm	0.5	48.888888888888886
4	pqc	none	0.0	fgsm	0.7	44.44444444444444
5	pqc	none	0.0	fgsm	0.9	45.18518518518518
6	pqc	none	0.0	pgd	0.1	51.11111111111111
7	pqc	none	0.0	pgd	0.3	49.629629629629626
8	pqc	none	0.0	pgd	0.5	51.85185185185185
9	pqc	none	0.0	pgd	0.7	50.37037037037037
10	pqc	none	0.0	pgd	0.9	49.629629629629626
11	pqc	amplitude-damping	0.02	none	0	75.55555555555556
12	pqc	amplitude-damping	0.02	fgsm	0.1	51.85185185185185
13	pqc	amplitude-damping	0.02	fgsm	0.3	50.37037037037037
14	pqc	amplitude-damping	0.02	fgsm	0.5	48.888888888888886
15	pqc	amplitude-damping	0.02	fgsm	0.7	44.44444444444444
16	pqc	amplitude-damping	0.02	fgsm	0.9	45.18518518518518
17	pqc	amplitude-damping	0.02	pgd	0.1	51.11111111111111
18	pqc	amplitude-damping	0.02	pgd	0.3	49.629629629629626
19	pqc	amplitude-damping	0.02	pgd	0.5	51.85185185185185
20	pqc	amplitude-damping	0.02	pgd	0.7	50.37037037037037
21	pqc	amplitude-damping	0.02	pgd	0.9	49.629629629629626
22	pqc	amplitude-damping	0.04	none	0	78.51851851851852
23	pqc	amplitude-damping	0.04	fgsm	0.1	51.85185185185185
24	pqc	amplitude-damping	0.04	fgsm	0.3	50.37037037037037
25	pqc	amplitude-damping	0.04	fgsm	0.5	48.888888888888886
26	pqc	amplitude-damping	0.04	fgsm	0.7	44.44444444444444
27	pqc	amplitude-damping	0.04	fgsm	0.9	45.18518518518518
28	pqc	amplitude-damping	0.04	pgd	0.1	51.11111111111111
29	pqc	amplitude-damping	0.04	pgd	0.3	49.629629629629626
