	qml_model	noise_model	probability|miscalibration	aml_attack	epsilon	accuracy
0	pqc	none	0.0	none	0	67.70186335403726
1	pqc	none	0.0	fgsm	0.1	45.962733030319214
2	pqc	none	0.0	fgsm	0.3	32.91925489902496
3	pqc	none	0.0	fgsm	0.5	32.29813575744629
4	pqc	none	0.0	fgsm	0.7	32.29813575744629
5	pqc	none	0.0	fgsm	0.9	32.91925489902496
6	pqc	none	0.0	pgd	0.1	45.962733030319214
7	pqc	none	0.0	pgd	0.3	32.29813575744629
8	pqc	none	0.0	pgd	0.5	32.29813575744629
9	pqc	none	0.0	pgd	0.7	34.16149020195007
10	pqc	none	0.0	pgd	0.9	33.54037404060364
11	pqc	amplitude-damping	0.02	none	0	59.62732919254658
12	pqc	amplitude-damping	0.02	fgsm	0.1	52.79502868652344
13	pqc	amplitude-damping	0.02	fgsm	0.3	33.54037404060364
14	pqc	amplitude-damping	0.02	fgsm	0.5	32.29813575744629
15	pqc	amplitude-damping	0.02	fgsm	0.7	27.950310707092285
16	pqc	amplitude-damping	0.02	fgsm	0.9	36.02484464645386
17	pqc	amplitude-damping	0.02	pgd	0.1	50.31055808067322
18	pqc	amplitude-damping	0.02	pgd	0.3	32.91925489902496
19	pqc	amplitude-damping	0.02	pgd	0.5	34.78260934352875
20	pqc	amplitude-damping	0.02	pgd	0.7	32.29813575744629
21	pqc	amplitude-damping	0.02	pgd	0.9	31.677019596099854
22	pqc	amplitude-damping	0.04	none	0	51.5527950310559
23	pqc	amplitude-damping	0.04	fgsm	0.1	49.68944191932678
24	pqc	amplitude-damping	0.04	fgsm	0.3	40.993788838386536
25	pqc	amplitude-damping	0.04	fgsm	0.5	34.16149020195007
26	pqc	amplitude-damping	0.04	fgsm	0.7	36.02484464645386
27	pqc	amplitude-damping	0.04	fgsm	0.9	36.64596378803253
28	pqc	amplitude-damping	0.04	pgd	0.1	50.31055808067322
29	pqc	amplitude-damping	0.04	pgd	0.3	35.40372550487518
30	pqc	amplitude-damping	0.04	pgd	0.5	42.236024141311646
31	pqc	amplitude-damping	0.04	pgd	0.7	40.993788838386536
32	pqc	amplitude-damping	0.04	pgd	0.9	38.509318232536316
33	pqc	amplitude-damping	0.06	none	0	49.68944099378882
34	pqc	amplitude-damping	0.06	fgsm	0.1	48.447203636169434
35	pqc	amplitude-damping	0.06	fgsm	0.3	48.447203636169434
36	pqc	amplitude-damping	0.06	fgsm	0.5	47.826087474823
37	pqc	amplitude-damping	0.06	fgsm	0.7	45.962733030319214
38	pqc	amplitude-damping	0.06	fgsm	0.9	44.720497727394104
39	pqc	amplitude-damping	0.06	pgd	0.1	49.06832277774811
40	pqc	amplitude-damping	0.06	pgd	0.3	49.68944191932678
41	pqc	amplitude-damping	0.06	pgd	0.5	49.06832277774811
42	pqc	amplitude-damping	0.06	pgd	0.7	49.68944191932678
43	pqc	amplitude-damping	0.06	pgd	0.9	39.13043439388275
44	pqc	amplitude-damping	0.08	none	0	49.68944099378882
45	pqc	amplitude-damping	0.08	fgsm	0.1	49.68944191932678
46	pqc	amplitude-damping	0.08	fgsm	0.3	57.14285969734192
47	pqc	amplitude-damping	0.08	fgsm	0.5	62.732917070388794
48	pqc	amplitude-damping	0.08	fgsm	0.7	61.49068474769592
49	pqc	amplitude-damping	0.08	fgsm	0.9	59.62733030319214
50	pqc	amplitude-damping	0.08	pgd	0.1	50.93167424201965
51	pqc	amplitude-damping	0.08	pgd	0.3	55.90062141418457
52	pqc	amplitude-damping	0.08	pgd	0.5	55.279505252838135
53	pqc	amplitude-damping	0.08	pgd	0.7	62.11180090904236
54	pqc	amplitude-damping	0.08	pgd	0.9	57.14285969734192
55	pqc	amplitude-damping	0.1	none	0	49.06832298136646
56	pqc	amplitude-damping	0.1	fgsm	0.1	50.93167424201965
57	pqc	amplitude-damping	0.1	fgsm	0.3	57.763975858688354
58	pqc	amplitude-damping	0.1	fgsm	0.5	63.35403919219971
59	pqc	amplitude-damping	0.1	fgsm	0.7	62.732917070388794
60	pqc	amplitude-damping	0.1	fgsm	0.9	61.49068474769592
61	pqc	amplitude-damping	0.1	pgd	0.1	49.68944191932678
62	pqc	amplitude-damping	0.1	pgd	0.3	58.38509202003479
63	pqc	amplitude-damping	0.1	pgd	0.5	59.62733030319214
64	pqc	amplitude-damping	0.1	pgd	0.7	55.90062141418457
65	pqc	amplitude-damping	0.1	pgd	0.9	55.90062141418457
66	pqc	bit-flip	0.02	none	0	64.59627329192547
67	pqc	bit-flip	0.02	fgsm	0.1	47.826087474823
68	pqc	bit-flip	0.02	fgsm	0.3	32.29813575744629
69	pqc	bit-flip	0.02	fgsm	0.5	32.91925489902496
70	pqc	bit-flip	0.02	fgsm	0.7	32.29813575744629
71	pqc	bit-flip	0.02	fgsm	0.9	34.78260934352875
72	pqc	bit-flip	0.02	pgd	0.1	46.58385217189789
73	pqc	bit-flip	0.02	pgd	0.3	34.16149020195007
74	pqc	bit-flip	0.02	pgd	0.5	33.54037404060364
75	pqc	bit-flip	0.02	pgd	0.7	39.13043439388275
76	pqc	bit-flip	0.02	pgd	0.9	35.40372550487518
77	pqc	bit-flip	0.04	none	0	44.099378881987576
78	pqc	bit-flip	0.04	fgsm	0.1	50.93167424201965
79	pqc	bit-flip	0.04	fgsm	0.3	61.49068474769592
80	pqc	bit-flip	0.04	fgsm	0.5	54.65838313102722
81	pqc	bit-flip	0.04	fgsm	0.7	54.65838313102722
82	pqc	bit-flip	0.04	fgsm	0.9	55.90062141418457
83	pqc	bit-flip	0.04	pgd	0.1	47.204968333244324
84	pqc	bit-flip	0.04	pgd	0.3	49.68944191932678
85	pqc	bit-flip	0.04	pgd	0.5	58.38509202003479
86	pqc	bit-flip	0.04	pgd	0.7	52.173912525177
87	pqc	bit-flip	0.04	pgd	0.9	54.037266969680786
88	pqc	bit-flip	0.06	none	0	44.099378881987576
89	pqc	bit-flip	0.06	fgsm	0.1	50.93167424201965
90	pqc	bit-flip	0.06	fgsm	0.3	61.49068474769592
91	pqc	bit-flip	0.06	fgsm	0.5	55.279505252838135
92	pqc	bit-flip	0.06	fgsm	0.7	54.65838313102722
93	pqc	bit-flip	0.06	fgsm	0.9	55.90062141418457
94	pqc	bit-flip	0.06	pgd	0.1	47.204968333244324
95	pqc	bit-flip	0.06	pgd	0.3	49.68944191932678
96	pqc	bit-flip	0.06	pgd	0.5	58.38509202003479
97	pqc	bit-flip	0.06	pgd	0.7	52.173912525177
98	pqc	bit-flip	0.06	pgd	0.9	54.037266969680786
99	pqc	bit-flip	0.08	none	0	44.099378881987576
100	pqc	bit-flip	0.08	fgsm	0.1	50.93167424201965
101	pqc	bit-flip	0.08	fgsm	0.3	61.49068474769592
102	pqc	bit-flip	0.08	fgsm	0.5	55.279505252838135
103	pqc	bit-flip	0.08	fgsm	0.7	54.65838313102722
104	pqc	bit-flip	0.08	fgsm	0.9	55.90062141418457
105	pqc	bit-flip	0.08	pgd	0.1	47.204968333244324
106	pqc	bit-flip	0.08	pgd	0.3	49.68944191932678
107	pqc	bit-flip	0.08	pgd	0.5	58.38509202003479
108	pqc	bit-flip	0.08	pgd	0.7	52.173912525177
109	pqc	bit-flip	0.08	pgd	0.9	54.037266969680786
110	pqc	bit-flip	0.1	none	0	44.099378881987576
111	pqc	bit-flip	0.1	fgsm	0.1	50.93167424201965
112	pqc	bit-flip	0.1	fgsm	0.3	61.49068474769592
113	pqc	bit-flip	0.1	fgsm	0.5	55.279505252838135
114	pqc	bit-flip	0.1	fgsm	0.7	54.65838313102722
115	pqc	bit-flip	0.1	fgsm	0.9	55.90062141418457
116	pqc	bit-flip	0.1	pgd	0.1	47.204968333244324
117	pqc	bit-flip	0.1	pgd	0.3	49.68944191932678
118	pqc	bit-flip	0.1	pgd	0.5	58.38509202003479
119	pqc	bit-flip	0.1	pgd	0.7	52.173912525177
120	pqc	bit-flip	0.1	pgd	0.9	54.037266969680786
