	qml_model	noise_model	probability|miscalibration	aml_attack	epsilon	accuracy
0	pqc	none	0.0	none	0	100.0
1	pqc	none	0.0	fgsm	0.1	93.33333333333333
2	pqc	none	0.0	fgsm	0.3	86.66666666666667
3	pqc	none	0.0	fgsm	0.5	53.333333333333336
4	pqc	none	0.0	fgsm	0.7	50.0
5	pqc	none	0.0	fgsm	0.9	50.0
6	pqc	none	0.0	pgd	0.1	93.33333333333333
7	pqc	none	0.0	pgd	0.3	90.0
8	pqc	none	0.0	pgd	0.5	70.0
9	pqc	none	0.0	pgd	0.7	73.33333333333333
10	pqc	none	0.0	pgd	0.9	66.66666666666666
11	pqc	amplitude-damping	0.02	none	0	100.0
12	pqc	amplitude-damping	0.02	fgsm	0.1	93.33333333333333
13	pqc	amplitude-damping	0.02	fgsm	0.3	86.66666666666667
14	pqc	amplitude-damping	0.02	fgsm	0.5	53.333333333333336
15	pqc	amplitude-damping	0.02	fgsm	0.7	50.0
16	pqc	amplitude-damping	0.02	fgsm	0.9	50.0
17	pqc	amplitude-damping	0.02	pgd	0.1	93.33333333333333
18	pqc	amplitude-damping	0.02	pgd	0.3	90.0
19	pqc	amplitude-damping	0.02	pgd	0.5	70.0
20	pqc	amplitude-damping	0.02	pgd	0.7	73.33333333333333
21	pqc	amplitude-damping	0.02	pgd	0.9	66.66666666666666
22	pqc	amplitude-damping	0.04	none	0	86.66666666666667
23	pqc	amplitude-damping	0.04	fgsm	0.1	93.33333333333333
24	pqc	amplitude-damping	0.04	fgsm	0.3	86.66666666666667
25	pqc	amplitude-damping	0.04	fgsm	0.5	53.333333333333336
26	pqc	amplitude-damping	0.04	fgsm	0.7	50.0
27	pqc	amplitude-damping	0.04	fgsm	0.9	50.0
28	pqc	amplitude-damping	0.04	pgd	0.1	93.33333333333333
29	pqc	amplitude-damping	0.04	pgd	0.3	90.0
30	pqc	amplitude-damping	0.04	pgd	0.5	70.0
31	pqc	amplitude-damping	0.04	pgd	0.7	73.33333333333333
32	pqc	amplitude-damping	0.04	pgd	0.9	66.66666666666666
33	pqc	amplitude-damping	0.06	none	0	53.333333333333336
34	pqc	amplitude-damping	0.06	fgsm	0.1	93.33333333333333
35	pqc	amplitude-damping	0.06	fgsm	0.3	86.66666666666667
36	pqc	amplitude-damping	0.06	fgsm	0.5	53.333333333333336
37	pqc	amplitude-damping	0.06	fgsm	0.7	50.0
